PARTNER;TVA intracom_xx0;SIRET_xx1;SIREN_xx2
Partenaire;Nº ID fiscale;;
20000068;FR55389036427;38903642700018;389036427
20000069;FR44352689327;35268932700075;352689327
BPC001;FR20582012936;58201293600123;582012936
