PARTNER;BU_GROUP;BU_SORT1;ZZ1_COMPANY_NAME_BUS;NAME_ORG1;BU_LANGU
Partenaire;Regroupement;Crit. recher. 1;Raison Sociale du fo;Nom 1;Langue
20000068;G002;1;;ECF DISTRIBUTION;FR
20000069;G002;1;;ECF LOGISTIQUE;FR
BPC001;S100;ECF;;BP ECF BRETIGNY;FR
30000000;G002;1;;FOURNISSEUR SANS ID;FR
